File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user1002_file497_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;269;487;42
user1013_file503_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;275;13;4
user1022_file508_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;269;487;42
user1020_file507_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;8;269;487;42
user1024_file510_yearofbirth_1971_sex_XX.23andme.txt;960613;288;11;269;487;42
user1026_file511_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;269;487;42
user1028_file514_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;11;4
user1029_file515_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;269;487;42
user1033_file567_yearofbirth_1992_sex_XY.23andme.txt;960613;284;11;273;10;4
user1034_file517_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;13;4
user1036_file519_yearofbirth_unknown_sex_unknown.23andme.txt;991786;296;9;269;487;42
user1038_file520_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;10;4
user1039_file521_yearofbirth_1958_sex_XY.23andme.txt;960613;284;11;269;487;42
user103_file50_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;269;487;42
user1040_file522_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;8;4
user1041_file523_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;269;487;42
user1047_file528_yearofbirth_1958_sex_XY.23andme.txt;960613;284;13;271;14;5
user1045_file526_yearofbirth_1972_sex_XX.23andme.txt;960613;288;13;269;487;42
user1046_file527_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;269;487;42
user1048_file529_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;14;5
user1051_file530_yearofbirth_1949_sex_unknown.23andme.txt;960613;288;12;269;487;42
user1053_file531_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;269;487;42
user1058_file533_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;16;269;487;42
user1062_file538_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;487;42
user1063_file540_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;269;487;42
user1060_file536_yearofbirth_1971_sex_unknown.23andme.txt;960613;284;12;269;487;42
user1064_file542_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;269;487;42
user1066_file543_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;269;487;42
user1071_file552_yearofbirth_1968_sex_XY.23andme.txt;991786;296;10;269;487;42
user1072_file548_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;12;269;487;42
user1075_file550_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;12;4
user1077_file551_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;12;269;487;42
user1079_file554_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;10;269;487;42
user107_file51_yearofbirth_1965_sex_XX.23andme.txt;960520;290;10;269;487;42
user1085_file557_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;12;4
user1087_file558_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;269;487;42
user1089_file559_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;269;487;42
user1091_file560_yearofbirth_1990_sex_XY.23andme.txt;960613;284;12;272;13;4
user1094_file563_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;15;269;487;42
user1103_file565_yearofbirth_unknown_sex_XX.23andme.txt;960613;288;11;269;487;42
user1106_file568_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;269;487;42
user1097_file564_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;7;277;10;4
user10_file3_yearofbirth_1982_sex_XY.23andme.txt;966983;298;19;269;487;42
user1107_file570_yearofbirth_unknown_sex_XX.23andme.txt;960613;288;14;269;487;42
user1112_file573_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;274;14;5
user1114_file574_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;17;267;12;5
user11_file176_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;274;14;4
user123_file54_yearofbirth_unknown_sex_unknown.23andme.txt;1003773;312;18;269;487;42
user124_file55_yearofbirth_1947_sex_XX.23andme.txt;960520;290;10;269;487;42
user137_file58_yearofbirth_unknown_sex_unknown.23andme.txt;996065;307;18;269;487;42
user125_file56_yearofbirth_1976_sex_XY.23andme.txt;991624;297;11;269;487;42
user139_file59_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;21;277;14;8
user13_file4_yearofbirth_1979_sex_XY.23andme.txt;966983;298;20;278;11;4
user141_file60_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;14;272;13;5
user144_file61_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;487;42
user146_file62_yearofbirth_1971_sex_XY.23andme.txt;960545;286;14;269;487;42
user154_file65_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;487;42
user159_file67_yearofbirth_1984_sex_XX.23andme.txt;960545;290;11;279;15;5
user160_file153_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;12;269;487;42
user158_file66_yearofbirth_unknown_sex_unknown.23andme.txt;1677118;458;114;269;487;42
user165_file71_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;269;487;42
user168_file73_yearofbirth_1988_sex_XY.23andme.txt;960520;286;11;269;487;42
user177_file78_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;269;487;42
user175_file76_yearofbirth_1974_sex_XY.23andme.txt;960545;286;10;269;487;42
user181_file79_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;269;487;42
user189_file174_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;269;487;42
user183_file80_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;269;487;42
user192_file82_yearofbirth_unknown_sex_XX.23andme.txt;966983;302;19;269;487;42
user199_file86_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;23;269;487;42
user19_file7_yearofbirth_unknown_sex_unknown.23andme.txt;996062;306;18;269;487;42
user1_file9_yearofbirth_1985_sex_XY.23andme.txt;966983;298;20;269;487;42
user204_file88_yearofbirth_1957_sex_XY.23andme.txt;960545;286;12;274;13;4
user202_file85_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;269;487;42
user207_file89_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;269;487;42
user200_file84_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;269;487;42
user212_file90_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;269;487;42
user216_file109_yearofbirth_1984_sex_XY.23andme.txt;960545;286;11;269;487;42
user217_file92_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;13;269;487;42
user22_file8_yearofbirth_1975_sex_XY.23andme.txt;966977;297;19;278;13;5
user231_file93_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;269;487;42
user240_file94_yearofbirth_1948_sex_XX.23andme.txt;966983;302;19;269;487;42
user241_file107_yearofbirth_1984_sex_XY.23andme.txt;991624;297;12;285;16;5
user251_file97_yearofbirth_unknown_sex_XX.23andme.txt;960545;290;10;269;487;42
user253_file98_yearofbirth_unknown_sex_unknown.23andme.txt;966977;297;19;278;10;4
user254_file100_yearofbirth_1900_sex_XY.23andme.txt;966977;297;20;277;11;5
user258_file101_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;269;487;42
user266_file104_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;14;4
user26_file10_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;487;42
user268_file106_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;12;278;11;5
user276_file110_yearofbirth_1972_sex_XY.23andme.txt;960545;286;10;276;11;4
user279_file113_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;10;269;487;42
user280_file114_yearofbirth_1989_sex_XX.23andme.txt;991624;301;11;269;487;42
user281_file116_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;10;269;487;42
user284_file117_yearofbirth_1961_sex_XY.23andme.txt;991600;297;12;269;487;42
user285_file118_yearofbirth_1976_sex_XY.23andme.txt;996065;307;17;290;10;7
user287_file120_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;487;42
user288_file121_yearofbirth_1987_sex_XX.23andme.txt;960545;290;13;269;487;42
user294_file125_yearofbirth_1963_sex_XY.23andme.txt;966983;298;20;269;487;42
user296_file127_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;12;7
user295_file126_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;487;42
user301_file131_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;9;269;487;42
user305_file133_yearofbirth_1972_sex_XY.23andme.txt;991624;297;11;286;13;4
user304_file162_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;13;269;487;42
user313_file138_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;269;487;42
user311_file136_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;269;487;42
user314_file137_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;13;269;487;42
user319_file504_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;8;269;487;42
user317_file139_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;269;487;42
user322_file141_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;269;487;42
user323_file142_yearofbirth_1983_sex_XY.23andme.txt;991624;297;12;285;12;4
user325_file149_yearofbirth_1987_sex_XY.23andme.txt;960545;286;11;269;487;42
user326_file144_yearofbirth_1987_sex_unknown.23andme.txt;960545;286;10;269;487;42
user328_file316_yearofbirth_1992_sex_XY.23andme.txt;960613;284;9;275;10;5
user329_file148_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;269;487;42
user330_file146_yearofbirth_unknown_sex_XY.23andme.txt;960545;286;12;274;14;5
user332_file147_yearofbirth_unknown_sex_XX.23andme.txt;960545;290;11;279;11;4
user337_file152_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;269;487;42
user33_file12_yearofbirth_unknown_sex_unknown.23andme.txt;991600;297;12;269;487;42
user341_file155_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;13;277;13;5
user345_file192_yearofbirth_unknown_sex_unknown.23andme.txt;960566;290;19;269;487;42
user349_file160_yearofbirth_1987_sex_XY.23andme.txt;960545;286;14;272;11;4
user347_file157_yearofbirth_1952_sex_XX.23andme.txt;991624;301;12;269;487;42
user357_file163_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;269;487;42
user352_file161_yearofbirth_unknown_sex_unknown.23andme.txt;991624;301;12;289;9;4
user363_file165_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;18;269;487;42
user366_file167_yearofbirth_1950_sex_XY.23andme.txt;960545;286;10;269;487;42
user368_file168_yearofbirth_1958_sex_XX.23andme.txt;960545;290;15;269;487;42
user36_file14_yearofbirth_1986_sex_XY.23andme.txt;996065;307;17;269;487;42
user374_file169_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;9;4
user377_file171_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;16;4
user380_file172_yearofbirth_unknown_sex_XY.23andme.txt;960545;286;10;276;12;4
user387_file173_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;13;269;487;42
user394_file175_yearofbirth_1954_sex_XY.23andme.txt;960545;286;11;269;487;42
user397_file178_yearofbirth_1961_sex_XY.23andme.txt;960520;286;10;269;487;42
user403_file180_yearofbirth_1952_sex_XY.23andme.txt;960565;286;11;269;487;42
user407_file182_yearofbirth_unknown_sex_unknown.23andme.txt;960565;290;11;269;487;42
user409_file202_yearofbirth_unknown_sex_unknown.23andme.txt;960566;286;16;269;487;42
user40_file32_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;10;269;487;42
user411_file183_yearofbirth_unknown_sex_unknown.23andme.txt;966977;297;20;269;487;42
user420_file184_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;13;269;487;42
user429_file187_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;21;269;487;42
user423_file185_yearofbirth_unknown_sex_unknown.23andme.txt;960565;286;11;275;10;5
