File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user146_file62_yearofbirth_1971_sex_XY.23andme.txt;960545;286;14;272;3;4
user148_file63_yearofbirth_1971_sex_XY.23andme.txt;576516;227;6;221;16;5
user158_file66_yearofbirth_unknown_sex_unknown.23andme.txt;1677118;0;0;0;0;0
user14_file6_yearofbirth_unknown_sex_unknown.23andme.txt;576517;231;6;225;16;4
user154_file65_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;8;5
user161_file68_yearofbirth_unknown_sex_unknown.23andme.txt;574405;228;5;223;5;5
user159_file67_yearofbirth_1984_sex_XX.23andme.txt;960545;290;11;279;7;5
user160_file153_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;12;278;7;1
user165_file71_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;6;2
user169_file74_yearofbirth_unknown_sex_unknown.23andme.txt;574405;224;6;218;4;4
user168_file73_yearofbirth_1988_sex_XY.23andme.txt;960520;286;11;275;3;4
user175_file76_yearofbirth_1974_sex_XY.23andme.txt;960545;286;10;276;5;4
user177_file78_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;276;5;4
user17_file143_yearofbirth_unknown_sex_XX.23andme.txt;578320;233;11;222;16;1
user180_file322_yearofbirth_1980_sex_XY.23andme.txt;574405;224;5;219;15;5
user183_file80_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;274;3;1
user181_file79_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;4;4
user187_file267_yearofbirth_unknown_sex_unknown.23andme.txt;574514;225;5;220;6;5
user189_file174_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;279;4;4
user192_file82_yearofbirth_unknown_sex_XX.23andme.txt;966983;302;19;283;6;5
user199_file86_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;23;269;461;42
user19_file7_yearofbirth_unknown_sex_unknown.23andme.txt;996062;306;18;288;18;5
user1_file9_yearofbirth_1985_sex_XY.23andme.txt;966983;298;20;278;14;4
user200_file84_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;276;3;4
user202_file85_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;16;5
user204_file88_yearofbirth_1957_sex_XY.23andme.txt;960545;286;12;274;4;4
user207_file89_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;7;5
user20_file45_yearofbirth_unknown_sex_unknown.23andme.txt;574404;224;6;218;3;4
user215_file91_yearofbirth_unknown_sex_unknown.23andme.txt;576516;227;14;213;4;4
user212_file90_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;16;5
user216_file109_yearofbirth_1984_sex_XY.23andme.txt;960545;286;11;275;13;4
