File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user1002_file497_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;3;7
user1013_file503_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;275;4;4
user1020_file507_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;8;276;4;4
user1024_file510_yearofbirth_1971_sex_XX.23andme.txt;960613;288;11;277;5;4
user1022_file508_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;274;4;4
user1026_file511_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;3;4
user1028_file514_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;5;4
user1033_file567_yearofbirth_1992_sex_XY.23andme.txt;960613;284;11;273;4;4
user1036_file519_yearofbirth_unknown_sex_unknown.23andme.txt;991786;296;9;287;5;7
user1034_file517_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;2;4
user1029_file515_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;5;4
user1038_file520_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;3;4
user103_file50_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;278;4;4
user1039_file521_yearofbirth_1958_sex_XY.23andme.txt;960613;284;11;273;5;4
user1040_file522_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;3;4
user1041_file523_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;275;3;4
user1045_file526_yearofbirth_1972_sex_XX.23andme.txt;960613;288;13;275;4;4
user1046_file527_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;273;2;4
user1047_file528_yearofbirth_1958_sex_XY.23andme.txt;960613;284;13;271;5;4
user1048_file529_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;3;4
user1051_file530_yearofbirth_1949_sex_unknown.23andme.txt;960613;288;12;276;5;4
user1053_file531_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;273;2;4
