File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user1002_file497_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;12;7
user1013_file503_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;275;11;4
user1024_file510_yearofbirth_1971_sex_XX.23andme.txt;960613;288;11;277;12;5
user1022_file508_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;274;13;5
user1020_file507_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;8;276;12;5
user1026_file511_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;8;4
user1028_file514_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;11;4
user1033_file567_yearofbirth_1992_sex_XY.23andme.txt;960613;284;11;273;10;4
user1029_file515_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;13;4
user1034_file517_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;12;4
user1036_file519_yearofbirth_unknown_sex_unknown.23andme.txt;991786;296;9;287;17;8
user1038_file520_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;7;4
user1039_file521_yearofbirth_1958_sex_XY.23andme.txt;960613;284;11;273;9;4
user103_file50_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;278;11;5
user1040_file522_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;11;4
user1041_file523_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;275;6;4
user1045_file526_yearofbirth_1972_sex_XX.23andme.txt;960613;288;13;275;13;4
user1047_file528_yearofbirth_1958_sex_XY.23andme.txt;960613;284;13;271;12;5
user1046_file527_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;273;6;4
user1048_file529_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;11;4
user1051_file530_yearofbirth_1949_sex_unknown.23andme.txt;960613;288;12;276;10;5
user1053_file531_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;273;9;5
user1058_file533_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;16;272;10;4
user1062_file538_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;9;4
user1060_file536_yearofbirth_1971_sex_unknown.23andme.txt;960613;284;12;272;10;4
user1063_file540_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;14;5
user1064_file542_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;12;8
user1071_file552_yearofbirth_1968_sex_XY.23andme.txt;991786;296;10;286;12;4
user1072_file548_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;12;272;11;5
user1066_file543_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;275;9;5
user1075_file550_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;13;4
user1077_file551_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;12;272;5;4
user1079_file554_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;10;278;11;5
user107_file51_yearofbirth_1965_sex_XX.23andme.txt;960520;290;10;280;10;4
user1085_file557_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;13;4
user1087_file558_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;8;5
user1089_file559_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;269;418;42
user1091_file560_yearofbirth_1990_sex_XY.23andme.txt;960613;284;12;272;11;4
user1094_file563_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;15;269;9;5
user1097_file564_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;7;277;10;4
user1103_file565_yearofbirth_unknown_sex_XX.23andme.txt;960613;288;11;277;11;4
user10_file3_yearofbirth_1982_sex_XY.23andme.txt;966983;298;19;279;11;5
user1106_file568_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;269;418;42
user1107_file570_yearofbirth_unknown_sex_XX.23andme.txt;960613;288;14;274;8;4
user1112_file573_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;274;12;5
user1114_file574_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;17;267;13;5
user11_file176_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;274;14;4
user123_file54_yearofbirth_unknown_sex_unknown.23andme.txt;1003773;312;18;294;6;4
user124_file55_yearofbirth_1947_sex_XX.23andme.txt;960520;290;10;280;10;4
user125_file56_yearofbirth_1976_sex_XY.23andme.txt;991624;297;11;286;12;5
user137_file58_yearofbirth_unknown_sex_unknown.23andme.txt;996065;307;18;289;11;4
user139_file59_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;21;277;13;8
user13_file4_yearofbirth_1979_sex_XY.23andme.txt;966983;298;20;278;11;4
user141_file60_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;14;272;12;5
user146_file62_yearofbirth_1971_sex_XY.23andme.txt;960545;286;14;269;418;42
user144_file61_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;7;4
user154_file65_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;418;42
user158_file66_yearofbirth_unknown_sex_unknown.23andme.txt;1677118;0;0;0;0;0
user160_file153_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;12;278;13;1
user159_file67_yearofbirth_1984_sex_XX.23andme.txt;960545;290;11;279;15;5
user165_file71_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;8;8
user168_file73_yearofbirth_1988_sex_XY.23andme.txt;960520;286;11;275;9;4
user177_file78_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;276;9;4
user181_file79_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;7;4
user183_file80_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;274;10;7
user175_file76_yearofbirth_1974_sex_XY.23andme.txt;960545;286;10;276;11;4
user189_file174_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;279;9;4
user192_file82_yearofbirth_unknown_sex_XX.23andme.txt;966983;302;19;283;11;5
user199_file86_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;23;269;418;42
user19_file7_yearofbirth_unknown_sex_unknown.23andme.txt;996062;306;18;288;11;5
user200_file84_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;10;276;9;4
user204_file88_yearofbirth_1957_sex_XY.23andme.txt;960545;286;12;274;10;4
user1_file9_yearofbirth_1985_sex_XY.23andme.txt;966983;298;20;278;10;4
user202_file85_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;14;5
user207_file89_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;12;5
user212_file90_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;14;5
user216_file109_yearofbirth_1984_sex_XY.23andme.txt;960545;286;11;275;9;4
user217_file92_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;13;273;10;4
user231_file93_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;278;11;8
user22_file8_yearofbirth_1975_sex_XY.23andme.txt;966977;297;19;278;11;5
user241_file107_yearofbirth_1984_sex_XY.23andme.txt;991624;297;12;285;14;5
user240_file94_yearofbirth_1948_sex_XX.23andme.txt;966983;302;19;283;11;4
user251_file97_yearofbirth_unknown_sex_XX.23andme.txt;960545;290;10;280;8;4
user253_file98_yearofbirth_unknown_sex_unknown.23andme.txt;966977;297;19;278;8;4
user254_file100_yearofbirth_1900_sex_XY.23andme.txt;966977;297;20;277;10;5
user258_file101_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;14;5
user266_file104_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;10;4
user268_file106_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;12;278;11;5
user26_file10_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;13;7
user276_file110_yearofbirth_1972_sex_XY.23andme.txt;960545;286;10;276;10;4
user279_file113_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;10;280;9;5
user280_file114_yearofbirth_1989_sex_XX.23andme.txt;991624;301;11;269;418;42
user284_file117_yearofbirth_1961_sex_XY.23andme.txt;991600;297;12;285;12;4
user281_file116_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;10;280;10;5
user285_file118_yearofbirth_1976_sex_XY.23andme.txt;996065;307;17;290;10;7
user287_file120_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;7;4
user288_file121_yearofbirth_1987_sex_XX.23andme.txt;960545;290;13;277;12;4
user294_file125_yearofbirth_1963_sex_XY.23andme.txt;966983;298;20;278;9;4
user295_file126_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;10;5
user296_file127_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;11;275;12;7
user301_file131_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;9;277;10;5
user304_file162_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;13;277;8;4
user305_file133_yearofbirth_1972_sex_XY.23andme.txt;991624;297;11;286;12;4
user311_file136_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;279;10;5
user313_file138_yearofbirth_unknown_sex_unknown.23andme.txt;960545;290;11;279;12;5
user317_file139_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;278;7;4
user314_file137_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;13;273;10;5
user319_file504_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;8;280;16;5
user322_file141_yearofbirth_unknown_sex_unknown.23andme.txt;960545;286;12;274;12;5
user323_file142_yearofbirth_1983_sex_XY.23andme.txt;991624;297;12;285;14;4
